edgeID,startNode,endNode
EELEV00X04_OELEV00X05,EELEV00X04,OELEV00X05
EELEV00Y04_EHALL01904,EELEV00Y04,EHALL01904
EELEV00Y04_OELEV00Y05,EELEV00Y04,OELEV00Y05
EELEV00Z04_EHALL01904,EELEV00Z04,EHALL01904
EREST00104_EHALL00304,EREST00104,EHALL00304
EREST00104_EHALL00204,EREST00104,EHALL00204
EREST00204_EHALL02604,EREST00204,EHALL02604
EREST00204_EHALL03104,EREST00204,EHALL03104
ESTAI00104_EHALL00704,ESTAI00104,EHALL00704
ESTAI00104_OSTAI00105,ESTAI00104,OSTAI00105
ESTAI00204_EHALL00404,ESTAI00204,EHALL00404
ESTAI00204_EHALL00304,ESTAI00204,EHALL00304
ESTAI00204_OSTAI00205,ESTAI00204,OSTAI00205
ESTAI00304_EHALL01104,ESTAI00304,EHALL01104
ESTAI00304_ELABS00304,ESTAI00304,ELABS00304
ESTAI00304_EHALL01204,ESTAI00304,EHALL01204
ESTAI00404_EHALL01704,ESTAI00404,EHALL01704
ESTAI00404_ELABS00504,ESTAI00404,ELABS00504
ESTAI00404_OSTAI00305,ESTAI00404,OSTAI00305
ESTAI00504_EHALL01904,ESTAI00504,EHALL01904
ESTAI00504_EDEPT01104,ESTAI00504,EDEPT01104
ESTAI00504_EHALL02004,ESTAI00504,EHALL02004
ESTAI00504_OSTAI00405,ESTAI00504,OSTAI00405
ESTAI00604_EHALL02604,ESTAI00604,EHALL02604
ESTAI00604_OSTAI00505,ESTAI00604,OSTAI00505
EDEPT00104_EHALL00704,EDEPT00104,EHALL00704
EDEPT00204_EHALL00504,EDEPT00204,EHALL00504
EDEPT00304_EHALL00304,EDEPT00304,EHALL00304
EDEPT00304_EDEPT00404,EDEPT00304,EDEPT00404
EDEPT00504_EHALL01804,EDEPT00504,EHALL01804
EDEPT00604_EHALL01004,EDEPT00604,EHALL01004
EDEPT00704_EHALL00804,EDEPT00704,EHALL00804
EDEPT00704_EHALL01004,EDEPT00704,EHALL01004
EDEPT00804_EHALL01204,EDEPT00804,EHALL01204
EDEPT00904_EHALL01604,EDEPT00904,EHALL01604
EDEPT01004_EHALL01604,EDEPT01004,EHALL01604
EDEPT01204_EHALL02004,EDEPT01204,EHALL02004
EDEPT01304_EHALL02204,EDEPT01304,EHALL02204
EDEPT01404_EHALL02404,EDEPT01404,EHALL02404
EDEPT01504_EHALL02304,EDEPT01504,EHALL02304
EDEPT01504_EHALL02504,EDEPT01504,EHALL02504
